"","SubNum","character","response","respCat","corrCat","accuracy","cumAcc","cumAccBlock","cumAccbyChar","RT","trialNum","trialNbychar","listN","NfromChange","befAft","iCP","trialCond","image","recogAcc","confidence","association","RTrecog","corr_ans_assoc"
"3625",23,"m5",2,"Outdoor activity & sport item","Electronic device & accessory",0,0.518518518518518,0.481481481481481,0.357142857142857,1.0983,149,14,5,37,1,"afterCP",1,"airconditioner.jpg",1,4,"left",1.1208,0
"3626",23,"m2",3,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.522058823529412,0.5,0.642857142857143,0.5318,150,14,5,38,1,"afterCP",1,"anchor.jpg",1,4,"right",1.015,0
"3627",23,"m5",4,"Kitchen & utensil","Electronic device & accessory",0,0.518248175182482,0.482758620689655,0.333333333333333,1.565,151,15,5,39,1,"afterCP",1,"lectern01.jpg",1,4,"left",2.1417,0
"3628",23,"m2",2,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.521739130434783,0.5,0.666666666666667,0.7491,152,15,5,40,1,"afterCP",1,"fishingrod.jpg",1,4,"left",0.9048,1
"3629",23,"m2",1,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.525179856115108,0.516129032258065,0.6875,2.1822,153,16,5,41,1,"afterCP",1,"sportbag.jpg",1,4,"right",2.254,0
"3630",23,"m2",2,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.528571428571429,0.53125,0.705882352941176,0.6007,154,17,5,42,1,"afterCP",1,"baseballglove.jpg",1,4,"left",0.9564,1
"3631",23,"m5",1,"Electronic device & accessory","Electronic device & accessory",1,0.531914893617021,0.545454545454545,0.375,1.7476,155,16,5,43,1,"afterCP",1,"expansioncard.jpg",1,4,"left",1.3087,0
"3632",23,"m2",4,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.535211267605634,0.558823529411765,0.722222222222222,0.7981,156,18,5,44,1,"beforeCP",1,"bikelock.jpg",1,4,NA,1.6216,NA
"3633",23,"m5",1,"Electronic device & accessory","Electronic device & accessory",1,0.538461538461538,0.571428571428571,0.411764705882353,1.8319,157,17,5,45,1,"beforeCP",1,"securitycamera.jpg",1,4,"left",1.1274,0
"3634",23,"m5",4,"Electronic device & accessory","Electronic device & accessory",1,0.541666666666667,0.583333333333333,0.444444444444444,1.0472,158,18,5,46,1,"beforeCP",1,"papershredder.jpg",1,4,"left",2.5276,0
"3649",24,"m2",2,"Outdoor activity & sport item","Outdoor activity & sport item",1,1,1,1,1.0595,15,1,2,2,0,"beforeCP",1,"ellipticalmachine.jpg",1,4,NA,1.0584,NA
"3650",24,"m5",1,"Kitchen & utensil","Hand labour tool & accessory",0,0.5,0.5,0,3.5854,16,1,2,4,0,"afterCP",1,"rope03.jpg",1,4,"left",2.7517,0
"3651",24,"m2",4,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.666666666666667,0.666666666666667,1,2.1864,17,2,2,6,0,"beforeCP",1,"sportbag.jpg",1,4,NA,1.2656,NA
"3652",24,"m2",1,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.75,0.75,1,1.9807,18,3,2,9,0,"beforeCP",1,"toyhockeystick01.jpg",1,1,"right",3.6332,0
"3653",24,"m2",4,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.8,0.8,1,1.9881,19,4,2,10,0,"beforeCP",1,"fishinghook03.jpg",1,4,"left",2.4999,1
"3654",24,"m2",2,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.833333333333333,0.833333333333333,1,1.5414,20,5,2,11,0,"beforeCP",1,"volleyball.jpg",1,4,"right",1.732,0
"3655",24,"m5",4,"Kitchen & utensil","Hand labour tool & accessory",0,0.714285714285714,0.714285714285714,0,1.4303,21,2,2,12,0,"beforeCP",1,"gluetube.jpg",1,4,NA,1.0987,NA
"3656",24,"m5",1,"Kitchen & utensil","Hand labour tool & accessory",0,0.625,0.625,0,1.5224,22,3,2,13,0,"beforeCP",1,"toyhardhat.jpg",1,4,"right",2.192,1
"3657",24,"m2",2,"Outdoor activity & sport item","Outdoor activity & sport item",1,0.666666666666667,0.666666666666667,1,1.4765,23,6,2,14,0,"beforeCP",1,"cooler01.jpg",1,3,"left",2.1576,1
"3658",24,"m5",1,"Kitchen & utensil","Hand labour tool & accessory",0,0.6,0.6,0,2.2335,24,4,2,17,0,"beforeCP",1,"saw02b.jpg",0,2,NA,1.6982,NA
"3659",24,"m2",NA,NA,"Outdoor activity & sport item",0,0.545454545454545,0.545454545454545,0.857142857142857,NA,25,7,2,19,0,"afterCP",1,"canoepaddle02.jpg",0,4,NA,1.1298,NA
"3660",24,"m5",1,"Hand labour tool & accessory","Hand labour tool & accessory",1,0.583333333333333,0.583333333333333,0.2,1.5619,26,5,2,20,0,"beforeCP",1,"snowshovel.jpg",1,4,"right",1.0122,1
"3661",24,"m2",4,"Kitchen & utensil","Outdoor activity & sport item",0,0.538461538461539,0.538461538461539,0.75,2.3813,27,8,2,21,0,"afterCP",1,"surfboard.jpg",1,4,"right",2.0282,0
"3662",24,"m5",2,"Kitchen & utensil","Hand labour tool & accessory",0,0.5,0.5,0.166666666666667,2.3823,28,6,2,22,0,"afterCP",1,"chainsaw.jpg",1,4,NA,1.3431,NA
"3663",24,"m2",3,"Electronic device & accessory","Outdoor activity & sport item",0,0.466666666666667,0.466666666666667,0.666666666666667,1.4486,29,9,2,23,0,"afterCP",1,"bikelock.jpg",1,4,NA,1.7809,NA
"3664",24,"m5",4,"Outdoor activity & sport item","Hand labour tool & accessory",0,0.4375,0.4375,0.142857142857143,2.565,30,7,2,24,0,"afterCP",1,"lawnmower.jpg",1,3,NA,1.9503,NA
